state,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,gender_gap
NSW,Bush walking,17.24,16.05,18.48,14.7,16.32,19.35,19.58,20.76,20.88,10.22,-2.4299999999999997
NSW,Running/jogging,15.63,18.23,13.17,23.72,23.34,25.29,22.16,15.27,8.01,1.93,5.0600000000000005
NSW,Swimming,16.87,16.33,17.33,20.75,17.16,17.88,19.17,18.48,18.74,11.02,-1.0
NSW,Cycling,7.14,8.92,5.37,5.4,4.88,6.32,7.85,10.78,10.13,4.55,3.55
NSW,Pilates,5.97,1.03,10.81,4.83,8.59,8.37,7.02,5.45,5.65,2.75,-9.780000000000001
NSW,Football/soccer,7.11,10.94,3.39,24.61,14.69,10.37,8.27,4.98,1.91,0.23,7.549999999999999
NSW,Yoga,4.97,1.45,8.41,3.03,3.54,6.01,6.66,6.4,5.47,2.76,-6.96
NSW,Basketball,4.53,6.81,2.34,17.9,9.73,6.39,5.48,2.62,0.58,0.19,4.47
NSW,Australian football,1.33,1.8,0.87,2.03,3.25,2.36,1.55,0.94,0.42,0.02,0.93
NSW,Golf,4.95,8.01,2.0,2.18,2.35,4.4,2.63,4.74,7.6,7.67,6.01
NSW,Tennis,5.99,6.94,5.12,9.02,7.4,8.21,6.49,5.81,4.64,3.32,1.8200000000000003
NSW,Netball,2.02,0.55,3.47,7.55,5.32,2.77,2.37,0.9,0.25,0.02,-2.92
NSW,Cricket,2.52,4.39,0.72,9.05,4.42,3.35,3.21,1.78,0.88,0.32,3.67
NSW,Dancing (recreational),1.63,0.69,2.49,2.49,2.29,1.45,2.34,1.11,1.32,1.25,-1.8000000000000003
NSW,Surfing,1.68,2.11,1.27,2.65,1.3,1.77,1.9,2.13,2.62,0.53,0.8399999999999999
NSW,Table tennis,1.79,2.5,1.12,6.97,3.56,2.19,1.72,0.89,0.94,0.55,1.38
NSW,Volleyball (indoor and outdoor),1.25,1.51,1.0,9.75,1.93,1.7,1.05,0.35,0.05,0.0,0.51
NSW,Weight lifting,1.46,1.51,1.42,1.03,1.44,2.62,1.72,0.98,1.23,0.89,0.09000000000000008
NSW,Bowls,0.99,1.26,0.74,0.0,0.29,0.42,0.28,0.31,1.03,3.04,0.52
NSW,Badminton,1.97,2.45,1.52,7.24,4.71,3.3,2.36,0.54,0.1,0.08,0.9300000000000002
NSW,Motor cycling,1.24,1.74,0.77,2.49,1.29,1.5,1.45,1.19,1.21,0.6,0.97
NSW,Underwater sports,0.81,0.8,0.82,1.06,0.41,0.9,0.9,1.02,0.98,0.58,-0.019999999999999907
NSW,Pickleball/padel,1.16,1.3,1.02,1.0,1.02,1.5,0.88,1.49,1.66,0.69,0.28
