comparison,activity,year_a,pct_a,year_b,pct_b,change_pp
2023/24 vs 2024/25,Roller Derby,2023/24,0.033,2024/25,0.011,-0.022
2023/24 vs 2024/25,Rope skipping,2023/24,0.305,2024/25,0.259,-0.046
2023/24 vs 2024/25,Rowing,2023/24,0.596,2024/25,0.568,-0.028
2023/24 vs 2024/25,Rugby league,2023/24,0.796,2024/25,0.744,-0.052
2023/24 vs 2024/25,Rugby union,2023/24,0.32,2024/25,0.36,0.04
2023/24 vs 2024/25,Running/jogging,2023/24,15.888,2024/25,16.283,0.395
2023/24 vs 2024/25,Sailing,2023/24,0.333,2024/25,0.36,0.027
2023/24 vs 2024/25,Scootering,2023/24,0.157,2024/25,0.147,-0.01
2023/24 vs 2024/25,Scouts,2023/24,0.018,2024/25,0.028,0.01
2023/24 vs 2024/25,Sepak takraw,2023/24,0.005,2024/25,0.005,0.0
2023/24 vs 2024/25,Shooting/field,2023/24,0.175,2024/25,0.196,0.021
2023/24 vs 2024/25,Shooting/range,2023/24,0.124,2024/25,0.138,0.014
2023/24 vs 2024/25,Skate,2023/24,0.473,2024/25,0.412,-0.061
2023/24 vs 2024/25,Skeleton,2023/24,0.0,2024/25,0.0,0.0
2023/24 vs 2024/25,Ski & snowboard,2023/24,0.794,2024/25,0.861,0.067
2023/24 vs 2024/25,Skirmish,2023/24,0.0,2024/25,0.003,0.003
2023/24 vs 2024/25,Softball,2023/24,0.128,2024/25,0.149,0.021
2023/24 vs 2024/25,Sport climbing,2023/24,0.436,2024/25,0.509,0.073
2023/24 vs 2024/25,Squash,2023/24,0.458,2024/25,0.448,-0.01
2023/24 vs 2024/25,Surfing,2023/24,1.422,2024/25,1.373,-0.049
2023/24 vs 2024/25,Swimming,2023/24,15.239,2024/25,15.306,0.067
2023/24 vs 2024/25,Sword fighting,2023/24,0.022,2024/25,0.011,-0.011
2023/24 vs 2024/25,Synchronised swimming,2023/24,0.083,2024/25,0.061,-0.022
2023/24 vs 2024/25,Table tennis,2023/24,1.612,2024/25,1.697,0.085
2023/24 vs 2024/25,Taekwondo/Taekwon-do,2023/24,0.178,2024/25,0.117,-0.061
2023/24 vs 2024/25,Tee ball,2023/24,0.024,2024/25,0.023,-0.001
2023/24 vs 2024/25,Tennis,2023/24,4.81,2024/25,5.145,0.335
2023/24 vs 2024/25,Tenpin bowling,2023/24,0.617,2024/25,0.62,0.003
2023/24 vs 2024/25,Tobogganing,2023/24,0.0,2024/25,0.0,0.0
