activity,age_group,pct,total_pct,rank
Mountain biking,15-17,1.716,0.726,34
Mountain biking,18-24,0.485,0.726,34
Mountain biking,25-34,0.612,0.726,34
Mountain biking,35-44,0.966,0.726,34
Mountain biking,45-54,1.211,0.726,34
Mountain biking,55-64,0.714,0.726,34
Mountain biking,65+,0.209,0.726,34
Touch football,15-17,2.335,0.712,35
Touch football,18-24,1.549,0.712,35
Touch football,25-34,1.213,0.712,35
Touch football,35-44,0.562,0.712,35
Touch football,45-54,0.505,0.712,35
Touch football,55-64,0.26,0.712,35
Touch football,65+,0.064,0.712,35
Crossfit/Functional fitness,15-17,0.159,0.648,36
Crossfit/Functional fitness,18-24,0.493,0.648,36
Crossfit/Functional fitness,25-34,1.295,0.648,36
Crossfit/Functional fitness,35-44,1.08,0.648,36
Crossfit/Functional fitness,45-54,0.634,0.648,36
Crossfit/Functional fitness,55-64,0.397,0.648,36
Crossfit/Functional fitness,65+,0.099,0.648,36
Tenpin bowling,15-17,1.064,0.629,37
Tenpin bowling,18-24,0.815,0.629,37
Tenpin bowling,25-34,0.516,0.629,37
Tenpin bowling,35-44,0.685,0.629,37
Tenpin bowling,45-54,0.644,0.629,37
Tenpin bowling,55-64,0.699,0.629,37
Tenpin bowling,65+,0.434,0.629,37
Martial arts,15-17,0.649,0.626,38
Martial arts,18-24,0.736,0.626,38
Martial arts,25-34,0.514,0.626,38
Martial arts,35-44,0.278,0.626,38
Martial arts,45-54,0.532,0.626,38
Martial arts,55-64,0.477,0.626,38
Martial arts,65+,1.105,0.626,38
Rowing,15-17,0.952,0.585,39
Rowing,18-24,0.413,0.585,39
Rowing,25-34,0.517,0.585,39
Rowing,35-44,0.512,0.585,39
Rowing,45-54,0.709,0.585,39
Rowing,55-64,0.847,0.585,39
Rowing,65+,0.457,0.585,39
Sport climbing,15-17,1.379,0.542,40
Sport climbing,18-24,1.335,0.542,40
Sport climbing,25-34,1.255,0.542,40
Sport climbing,35-44,0.492,0.542,40
Sport climbing,45-54,0.044,0.542,40
Sport climbing,55-64,0.119,0.542,40
Sport climbing,65+,0.009,0.542,40
Gymnastics,15-17,2.5,0.54,41
Gymnastics,18-24,1.056,0.54,41
Gymnastics,25-34,0.726,0.54,41
Gymnastics,35-44,0.693,0.54,41
Gymnastics,45-54,0.152,0.54,41
Gymnastics,55-64,0.16,0.54,41
Gymnastics,65+,0.09,0.54,41
Hockey,15-17,1.629,0.512,42
Hockey,18-24,0.985,0.512,42
Hockey,25-34,0.584,0.512,42
Hockey,35-44,0.632,0.512,42
Hockey,45-54,0.45,0.512,42
Hockey,55-64,0.267,0.512,42
Hockey,65+,0.072,0.512,42
Rock climbing/Abseiling/Caving,15-17,1.791,0.457,43
Rock climbing/Abseiling/Caving,18-24,0.978,0.457,43
Rock climbing/Abseiling/Caving,25-34,0.604,0.457,43
Rock climbing/Abseiling/Caving,35-44,0.545,0.457,43
Rock climbing/Abseiling/Caving,45-54,0.249,0.457,43
Rock climbing/Abseiling/Caving,55-64,0.159,0.457,43
Rock climbing/Abseiling/Caving,65+,0.046,0.457,43
Equestrian,15-17,0.546,0.442,44
Equestrian,18-24,0.682,0.442,44
Equestrian,25-34,0.573,0.442,44
Equestrian,35-44,0.445,0.442,44
Equestrian,45-54,0.411,0.442,44
Equestrian,55-64,0.592,0.442,44
Equestrian,65+,0.103,0.442,44
Skate,15-17,1.194,0.396,45
Skate,18-24,0.663,0.396,45
Skate,25-34,0.6,0.396,45
Skate,35-44,0.475,0.396,45
Skate,45-54,0.429,0.396,45
Skate,55-64,0.115,0.396,45
Skate,65+,0.007,0.396,45
Squash,15-17,0.359,0.39,46
Squash,18-24,0.344,0.39,46
Squash,25-34,0.579,0.39,46
Squash,35-44,0.461,0.39,46
Squash,45-54,0.435,0.39,46
Squash,55-64,0.413,0.39,46
Squash,65+,0.155,0.39,46
Rugby union,15-17,1.386,0.374,47
Rugby union,18-24,0.913,0.374,47
Rugby union,25-34,0.617,0.374,47
Rugby union,35-44,0.291,0.374,47
Rugby union,45-54,0.18,0.374,47
Rugby union,55-64,0.126,0.374,47
Rugby union,65+,0.037,0.374,47
Calisthenics,15-17,1.226,0.359,48
Calisthenics,18-24,0.688,0.359,48
Calisthenics,25-34,0.519,0.359,48
Calisthenics,35-44,0.332,0.359,48
