period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,rank,gender_gap,male_dominant
Jan–Dec 2025,2025,Campdrafting,0.013,0.005,0.021,0.0,0.028,0.046,0.0,0.0,0.0,0.008,114,-0.016,False
Jan–Dec 2025,2025,Marching,0.012,0.015,0.009,0.0,0.021,0.015,0.0,0.019,0.029,0.0,115,0.006,True
Jan–Dec 2025,2025,Tee ball,0.012,0.021,0.004,0.0,0.056,0.023,0.012,0.0,0.0,0.0,116,0.017,True
Jan–Dec 2025,2025,Baton twirling,0.012,0.015,0.008,0.0,0.021,0.024,0.0,0.035,0.0,0.0,117,0.006999999999999999,True
Jan–Dec 2025,2025,Paintball,0.012,0.015,0.009,0.0,0.026,0.012,0.015,0.015,0.017,0.0,118,0.006,True
Jan–Dec 2025,2025,Harness racing,0.011,0.022,0.0,0.0,0.023,0.0,0.014,0.033,0.0,0.004,119,0.022,True
Jan–Dec 2025,2025,Goalball,0.01,0.021,0.0,0.167,0.0,0.0,0.016,0.0,0.0,0.0,120,0.021,True
Jan–Dec 2025,2025,Curling,0.01,0.011,0.009,0.0,0.0,0.0,0.057,0.0,0.0,0.0,121,0.002,True
Jan–Dec 2025,2025,Kung fu wushu,0.009,0.009,0.01,0.0,0.02,0.0,0.0,0.035,0.015,0.0,122,-0.0010000000000000009,False
Jan–Dec 2025,2025,Ready Steady Go Kids,0.008,0.006,0.009,0.0,0.021,0.017,0.013,0.0,0.0,0.0,123,-0.002999999999999999,False
Jan–Dec 2025,2025,Ice racing/speed skating,0.007,0.01,0.004,0.0,0.023,0.0,0.0,0.03,0.0,0.0,124,0.006,True
Jan–Dec 2025,2025,Biathlon,0.006,0.012,0.0,0.0,0.027,0.0,0.017,0.0,0.0,0.0,125,0.012,True
Jan–Dec 2025,2025,Lifesaving royal,0.005,0.011,0.0,0.0,0.023,0.015,0.0,0.0,0.0,0.0,126,0.011,True
Jan–Dec 2025,2025,Korfball,0.005,0.005,0.005,0.0,0.0,0.029,0.0,0.0,0.0,0.0,127,0.0,False
Jan–Dec 2025,2025,Guides,0.004,0.0,0.008,0.0,0.0,0.009,0.015,0.0,0.0,0.0,128,-0.008,False
Jan–Dec 2025,2025,Polocrosse,0.004,0.005,0.004,0.0,0.0,0.0,0.026,0.0,0.0,0.0,129,0.001,True
Jan–Dec 2025,2025,Rodeo,0.003,0.0,0.005,0.0,0.024,0.0,0.0,0.0,0.0,0.0,130,-0.005,False
Jan–Dec 2025,2025,Skirmish,0.003,0.0,0.005,0.0,0.0,0.0,0.015,0.0,0.0,0.0,131,-0.005,False
Jan–Dec 2025,2025,Sepak takraw,0.003,0.005,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,132,0.005,True
Jan–Dec 2025,2025,Petanque,0.003,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.016,133,-0.006,False
Jan–Dec 2025,2025,Modern pentathlon,0.003,0.006,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,134,0.006,True
Jan–Dec 2025,2025,Bobsledding,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.013,0.0,0.0,135,-0.004,False
Jan–Dec 2025,2025,Wheelchair rugby,0.002,0.0,0.005,0.0,0.0,0.0,0.013,0.0,0.0,0.0,136,-0.005,False
Jan–Dec 2025,2025,Broomball,0.002,0.0,0.005,0.0,0.0,0.0,0.014,0.0,0.0,0.0,137,-0.005,False
Jan–Dec 2025,2025,Tobogganing,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.016,0.0,0.0,138,-0.005,False
Jan–Dec 2025,2025,Polo,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,139,0.003,True
Jan–Dec 2025,2025,Boccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,0.0,False
Jan–Dec 2025,2025,Luging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,0.0,False
Jan–Dec 2025,2025,Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0.0,False
