period,age_group,frequency,pct
Jul 2024–Jun 2025,15-17,1+/fortnight,75.01
Jul 2024–Jun 2025,15-17,1+/week,68.09
Jul 2024–Jun 2025,15-17,2+/week,57.05
Jul 2024–Jun 2025,15-17,3+/week,49.46
Jul 2024–Jun 2025,15-17,4+/week,41.25
Jul 2024–Jun 2025,15-17,5+/week,35.16
Jul 2024–Jun 2025,15-17,6+/week,28.26
Jul 2024–Jun 2025,15-17,7+/week,23.02
Jul 2024–Jun 2025,18-24,1+/year,87.78
Jul 2024–Jun 2025,18-24,1+/month,81.41
Jul 2024–Jun 2025,18-24,1+/fortnight,75.96
Jul 2024–Jun 2025,18-24,1+/week,67.67
Jul 2024–Jun 2025,18-24,2+/week,56.48
Jul 2024–Jun 2025,18-24,3+/week,47.06
Jul 2024–Jun 2025,18-24,4+/week,37.82
Jul 2024–Jun 2025,18-24,5+/week,31.13
Jul 2024–Jun 2025,18-24,6+/week,24.11
Jul 2024–Jun 2025,18-24,7+/week,18.37
Jul 2024–Jun 2025,25-34,1+/year,89.91
Jul 2024–Jun 2025,25-34,1+/month,83.4
Jul 2024–Jun 2025,25-34,1+/fortnight,78.14
Jul 2024–Jun 2025,25-34,1+/week,69.14
Jul 2024–Jun 2025,25-34,2+/week,58.65
Jul 2024–Jun 2025,25-34,3+/week,49.22
Jul 2024–Jun 2025,25-34,4+/week,40.09
Jul 2024–Jun 2025,25-34,5+/week,31.99
Jul 2024–Jun 2025,25-34,6+/week,24.3
Jul 2024–Jun 2025,25-34,7+/week,18.64
Jul 2024–Jun 2025,35-44,1+/year,88.79
Jul 2024–Jun 2025,35-44,1+/month,82.59
Jul 2024–Jun 2025,35-44,1+/fortnight,77.0
Jul 2024–Jun 2025,35-44,1+/week,67.97
Jul 2024–Jun 2025,35-44,2+/week,56.46
Jul 2024–Jun 2025,35-44,3+/week,47.0
Jul 2024–Jun 2025,35-44,4+/week,37.64
Jul 2024–Jun 2025,35-44,5+/week,30.08
Jul 2024–Jun 2025,35-44,6+/week,22.17
Jul 2024–Jun 2025,35-44,7+/week,16.85
Jul 2024–Jun 2025,45-54,1+/year,88.26
Jul 2024–Jun 2025,45-54,1+/month,82.83
Jul 2024–Jun 2025,45-54,1+/fortnight,78.3
Jul 2024–Jun 2025,45-54,1+/week,70.7
Jul 2024–Jun 2025,45-54,2+/week,60.38
Jul 2024–Jun 2025,45-54,3+/week,51.53
Jul 2024–Jun 2025,45-54,4+/week,42.52
Jul 2024–Jun 2025,45-54,5+/week,35.0
Jul 2024–Jun 2025,45-54,6+/week,26.61
Jul 2024–Jun 2025,45-54,7+/week,19.79
Jul 2024–Jun 2025,55-64,1+/year,86.06
Jul 2024–Jun 2025,55-64,1+/month,81.88
Jul 2024–Jun 2025,55-64,1+/fortnight,78.11
Jul 2024–Jun 2025,55-64,1+/week,71.13
Jul 2024–Jun 2025,55-64,2+/week,62.83
Jul 2024–Jun 2025,55-64,3+/week,54.84
Jul 2024–Jun 2025,55-64,4+/week,46.26
Jul 2024–Jun 2025,55-64,5+/week,38.06
Jul 2024–Jun 2025,55-64,6+/week,29.43
Jul 2024–Jun 2025,55-64,7+/week,22.62
Jul 2024–Jun 2025,65+,1+/year,75.88
Jul 2024–Jun 2025,65+,1+/month,71.82
Jul 2024–Jun 2025,65+,1+/fortnight,69.03
Jul 2024–Jun 2025,65+,1+/week,61.98
Jul 2024–Jun 2025,65+,2+/week,54.08
Jul 2024–Jun 2025,65+,3+/week,45.8
Jul 2024–Jun 2025,65+,4+/week,37.47
Jul 2024–Jun 2025,65+,5+/week,30.9
Jul 2024–Jun 2025,65+,6+/week,23.06
Jul 2024–Jun 2025,65+,7+/week,17.04
Jan–Dec 2025,All ages,1+/year,85.9
Jan–Dec 2025,All ages,1+/month,81.09
Jan–Dec 2025,All ages,1+/fortnight,76.76
Jan–Dec 2025,All ages,1+/week,68.76
Jan–Dec 2025,All ages,2+/week,59.03
Jan–Dec 2025,All ages,3+/week,50.11
Jan–Dec 2025,All ages,4+/week,41.41
Jan–Dec 2025,All ages,5+/week,33.95
Jan–Dec 2025,All ages,6+/week,25.81
Jan–Dec 2025,All ages,7+/week,19.61
Jan–Dec 2025,15-17,1+/year,87.43
Jan–Dec 2025,15-17,1+/month,81.9
Jan–Dec 2025,15-17,1+/fortnight,77.66
Jan–Dec 2025,15-17,1+/week,71.03
Jan–Dec 2025,15-17,2+/week,61.22
Jan–Dec 2025,15-17,3+/week,53.08
Jan–Dec 2025,15-17,4+/week,45.1
Jan–Dec 2025,15-17,5+/week,38.68
Jan–Dec 2025,15-17,6+/week,30.65
Jan–Dec 2025,15-17,7+/week,24.27
Jan–Dec 2025,18-24,1+/year,88.75
Jan–Dec 2025,18-24,1+/month,83.14
Jan–Dec 2025,18-24,1+/fortnight,78.19
Jan–Dec 2025,18-24,1+/week,69.55
